"id","booking_id","user_id","username","proposed_data","status","request_date","rejection_reason","user_notified"
"1","12","2","User","{""exhibitor_name"":""Balaji Mukhwas "",""facia_name"":""Chooran"",""product_category"":""Mukhwas"",""contact_person"":""Balaji"",""contact_number"":""1234567890"",""secondary_number"":""6969584747"",""id_proof"":"""",""full_address"":"""",""rent_amount"":""88000"",""discount"":""0"",""advance_amount"":""0"",""due_amount"":""45700""}","rejected","2025-10-13 12:05:03","Check once more","1"
"2","12","2","User","{""exhibitor_name"":""Balaji Mukhwas"",""facia_name"":""Chooran"",""product_category"":""Chooran"",""contact_person"":""Balaji Mukhwas"",""contact_number"":""1234567890"",""secondary_number"":"""",""id_proof"":"""",""full_address"":"""",""rent_amount"":""88000"",""discount"":""0"",""advance_amount"":""0"",""due_amount"":""45700""}","approved","2025-10-13 12:35:41",,"1"
